W,q,Q,cth,t,ds,stat,syst+,syst-,obs,unit,experiment
3.603341E+00,1.679512E+00,1.512177E+00,1.003387E+00,1.000000E-02,2.630000E+00,2.100000E-01,1.052000E-01,1.052000E-01,ds/dt,mb/GeV2,desy094
2.813786E+00,1.250457E+00,1.010111E+00,1.021241E+00,3.000000E-02,1.510000E+00,2.300000E-01,6.040000E-02,6.040000E-02,ds/dt,mb/GeV2,desy094
2.975847E+00,1.340007E+00,1.120182E+00,1.015932E+00,3.000000E-02,1.440000E+00,1.700000E-01,5.760000E-02,5.760000E-02,ds/dt,mb/GeV2,desy094
3.144482E+00,1.432257E+00,1.229943E+00,1.012381E+00,3.000000E-02,1.760000E+00,1.200000E-01,7.040000E-02,7.040000E-02,ds/dt,mb/GeV2,desy094
3.304522E+00,1.519056E+00,1.330685E+00,1.010081E+00,3.000000E-02,1.860000E+00,1.400000E-01,7.440000E-02,7.440000E-02,ds/dt,mb/GeV2,desy094
3.457161E+00,1.601257E+00,1.424324E+00,1.008487E+00,3.000000E-02,2.060000E+00,1.600000E-01,8.240000E-02,8.240000E-02,ds/dt,mb/GeV2,desy094
3.603341E+00,1.679512E+00,1.512177E+00,1.007324E+00,3.000000E-02,2.200000E+00,1.800000E-01,8.800000E-02,8.800000E-02,ds/dt,mb/GeV2,desy094
2.641803E+00,1.154281E+00,8.864897E-01,1.040567E+00,5.000000E-02,1.190000E+00,1.300000E-01,4.760000E-02,4.760000E-02,ds/dt,mb/GeV2,desy094
2.813786E+00,1.250457E+00,1.010111E+00,1.029159E+00,5.000000E-02,1.360000E+00,7.100000E-01,5.440000E-02,5.440000E-02,ds/dt,mb/GeV2,desy094
2.975847E+00,1.340007E+00,1.120182E+00,1.022594E+00,5.000000E-02,1.420000E+00,2.100000E-01,5.680000E-02,5.680000E-02,ds/dt,mb/GeV2,desy094
