i,W,q,Q,cth,t,t0,obs,value,stat,syst+,syst-,unit
1,1.994200E+00,7.763713E-01,1.896706E-01,7.962715E-01,-3.363169E-01,-2.763169E-01,ds/dt,3.367000E-01,1.680000E-02,6.770000E-02,-6.770000E-02,mub/GeV2
2,1.994200E+00,7.763713E-01,1.896706E-01,6.604525E-01,-3.763169E-01,-2.763169E-01,ds/dt,2.808000E-01,1.330000E-02,3.850000E-02,-3.850000E-02,mub/GeV2
3,1.994200E+00,7.763713E-01,1.896706E-01,5.246335E-01,-4.163169E-01,-2.763169E-01,ds/dt,2.853000E-01,1.350000E-02,1.030000E-02,-1.030000E-02,mub/GeV2
4,1.994200E+00,7.763713E-01,1.896706E-01,3.888146E-01,-4.563169E-01,-2.763169E-01,ds/dt,2.411000E-01,1.190000E-02,1.730000E-02,-1.730000E-02,mub/GeV2
5,1.994200E+00,7.763713E-01,1.896706E-01,2.529956E-01,-4.963169E-01,-2.763169E-01,ds/dt,2.059000E-01,1.080000E-02,1.040000E-02,-1.040000E-02,mub/GeV2
6,2.040700E+00,8.046509E-01,2.877657E-01,8.704389E-01,-2.623287E-01,-2.023287E-01,ds/dt,5.033000E-01,2.100000E-02,3.310000E-02,-3.310000E-02,mub/GeV2
7,2.040700E+00,8.046509E-01,2.877657E-01,7.840648E-01,-3.023287E-01,-2.023287E-01,ds/dt,4.052000E-01,1.540000E-02,3.850000E-02,-3.850000E-02,mub/GeV2
8,2.040700E+00,8.046509E-01,2.877657E-01,6.976907E-01,-3.423287E-01,-2.023287E-01,ds/dt,3.562000E-01,1.380000E-02,2.980000E-02,-2.980000E-02,mub/GeV2
9,2.040700E+00,8.046509E-01,2.877657E-01,6.113166E-01,-3.823287E-01,-2.023287E-01,ds/dt,3.262000E-01,1.300000E-02,1.890000E-02,-1.890000E-02,mub/GeV2
10,2.040700E+00,8.046509E-01,2.877657E-01,5.249426E-01,-4.223287E-01,-2.023287E-01,ds/dt,2.929000E-01,1.150000E-02,2.180000E-02,-2.180000E-02,mub/GeV2
11,2.086100E+00,8.320452E-01,3.599764E-01,8.998386E-01,-2.207989E-01,-1.607989E-01,ds/dt,5.815000E-01,2.520000E-02,6.820000E-02,-6.820000E-02,mub/GeV2
12,2.086100E+00,8.320452E-01,3.599764E-01,8.330644E-01,-2.607989E-01,-1.607989E-01,ds/dt,4.991000E-01,1.960000E-02,4.430000E-02,-4.430000E-02,mub/GeV2
13,2.086100E+00,8.320452E-01,3.599764E-01,7.662901E-01,-3.007989E-01,-1.607989E-01,ds/dt,4.159000E-01,1.560000E-02,4.950000E-02,-4.950000E-02,mub/GeV2
14,2.086100E+00,8.320452E-01,3.599764E-01,6.995158E-01,-3.407989E-01,-1.607989E-01,ds/dt,4.453000E-01,1.690000E-02,7.010000E-02,-7.010000E-02,mub/GeV2
15,2.086100E+00,8.320452E-01,3.599764E-01,6.327416E-01,-3.807989E-01,-1.607989E-01,ds/dt,3.571000E-01,1.450000E-02,2.400000E-02,-2.400000E-02,mub/GeV2
16,2.130600E+00,8.587022E-01,4.200402E-01,9.168260E-01,-1.929392E-01,-1.329392E-01,ds/dt,7.171000E-01,3.610000E-02,1.199000E-01,-1.199000E-01,mub/GeV2
