CLAS physics database search results
Measurement E63M2

Curtis A. Meyer
0

W	cos(theta)	dsigma/dcos(theta)	Data errors
GeV	dimensionless	mcb	mcb
1.985	0.37	0.0635	0.0114
1.985	0.42	0.0781	0.0122
1.985	0.47	0.0812	0.0138
1.985	0.53	0.0943	0.0142
1.985	0.57	0.0765	0.0128
1.985	0.62	0.0819	0.0134
1.985	0.67	0.1159	0.018
1.985	0.72	0.0991	0.0201
1.985	0.78	0.0662	0.0235
1.985	0.82	0.0852	0.0547
1.985	-0.4	0.0885	0.0263
1.985	-0.3	0.0872	0.0165
1.985	-0.2	0.0541	0.0103
1.985	-0.1	0.0687	0.01
1.985	0	0.0575	0.0083
1.985	0.1	0.088	0.0109
1.985	0.2	0.063	0.0082
1.985	0.3	0.08	0.0092
1.995	0.37	0.081	0.0115
1.995	0.42	0.0947	0.012
1.995	0.47	0.1064	0.0133
1.995	0.53	0.11	0.0135
1.995	0.57	0.1194	0.0141
1.995	0.62	0.1149	0.0137
1.995	0.67	0.1065	0.0129
1.995	0.72	0.1138	0.0144
1.995	0.78	0.1227	0.0162
1.995	0.82	0.1184	0.0198
1.995	0.87	0.1532	0.0546
1.995	-0.5	0.0478	0.0178
1.995	-0.4	0.0551	0.0112
1.995	-0.3	0.0622	0.0098
1.995	-0.2	0.0533	0.0078
1.995	-0.1	0.0619	0.0095
1.995	0	0.0822	0.009
1.995	0.1	0.0705	0.008
1.995	0.2	0.0905	0.0093
1.995	0.3	0.0948	0.0089
2.005	0.37	0.0724	0.0096
2.005	0.42	0.0909	0.0104
2.005	0.47	0.0953	0.0107
2.005	0.53	0.0942	0.011
2.005	0.57	0.0994	0.0112
2.005	0.62	0.1063	0.0118
2.005	0.67	0.132	0.0136
2.005	0.72	0.1341	0.014
2.005	0.78	0.1514	0.0165
2.005	0.82	0.1727	0.0184
2.005	0.88	0.2026	0.0271
2.005	-0.6	0.0381	0.0143
2.005	-0.5	0.0374	0.007
2.005	-0.4	0.049	0.0075
2.005	-0.3	0.0465	0.0064
2.005	-0.2	0.0533	0.0068
2.005	-0.1	0.0512	0.0064
2.005	0	0.0691	0.0073
2.005	0.1	0.0573	0.0062
2.005	0.2	0.0713	0.007
2.005	0.3	0.0739	0.0067
2.015	0.37	0.0798	0.0112
2.015	0.42	0.0981	0.0117
2.015	0.47	0.106	0.0118
2.015	0.53	0.1019	0.0117
2.015	0.57	0.0992	0.0115
2.015	0.62	0.1214	0.013
2.015	0.67	0.1385	0.0139
2.015	0.72	0.1558	0.016
2.015	0.78	0.1496	0.0154
2.015	0.82	0.1855	0.0179
2.015	0.88	0.2026	0.0208
2.015	0.92	0.1971	0.0662
2.015	-0.67	0.0316	0.028
2.015	-0.6	0.0392	0.0088
2.015	-0.5	0.0473	0.0084
2.015	-0.4	0.051	0.008
2.015	-0.3	0.0553	0.0077
2.015	-0.2	0.0505	0.0069
2.015	-0.1	0.0561	0.007
2.015	0	0.0574	0.0068
2.015	0.1	0.0631	0.0067
2.015	0.2	0.0814	0.0074
2.015	0.3	0.0811	0.0074
2.025	0.37	0.0798	0.0103
